"Country","World.region","survey","year","Nutrition","Child.mortality","Years.of.schooling","School.attendance","Cooking.fuel","Sanitation","Drinking.water","Electricity","Housing","Assets","Sample.size"
"Iraq","Arab States","MICS","2018",12.7425730228424,3.12517918646336,11.3243490457535,17.2476410865784,0.353356450796127,8.23437869548798,1.89761240035296,0.114720175042748,7.92828351259232,0.356453959830105,130155
"Jamaica","Latin America and the Caribbean","JSLC","2014",2.29222532361746,NA,1.98307912796736,3.93011532723904,20.1827481389046,32.3217779397964,21.1942449212074,5.60810640454292,32.6861500740051,2.91418544948101,5193
"Jordan","Arab States","DHS","2017-2018",2.78894118964672,1.46138351410627,1.66930314153433,3.34342159330845,0.0475471431855112,2.10451558232307,1.82777941226959,0,1.35395936667919,0.209903786890209,44606
"Kazakhstan","Europe and Central Asia","MICS","2015",4.91462647914887,6.2579445540905,0.221468671225011,0.25766552425921,1.48684745654464,2.07002740353346,4.10884208977222,0.0182883115485311,8.85645896196365,0.13345442712307,54242
"Kenya","Sub-Saharan Africa","DHS","2014",24.4342774152756,3.98012511432171,10.496947914362,5.37322424352169,84.5399975776672,75.6619930267334,48.1951475143433,71.6168582439423,96.9374358654022,26.680988073349,70508
"Kyrgyzstan","Europe and Central Asia","MICS","2014",10.6547601521015,2.07175463438034,0.461236853152514,1.72928236424923,29.2746067047119,2.52092257142067,16.0955116152763,0.191170535981655,42.8448557853699,0.588179845362902,30129
"Lao PDR","East Asia and the Pacific","MICS","2017",21.4086011052132,2.7252621948719,24.1139873862267,11.9673952460289,93.467777967453,28.9329081773758,17.0072570443153,7.01543539762497,21.047942340374,8.81534442305565,105145
"Lesotho","Sub-Saharan Africa","DHS","2014",20.2300742268562,4.22968901693821,14.5260900259018,6.38227015733719,63.4492814540863,48.6897259950638,36.507859826088,73.3545780181885,44.600436091423,35.3692084550858,15307
"Liberia","Sub-Saharan Africa","DHS","2013",32.8798651695251,8.44623893499374,31.0850530862808,24.5587393641472,99.3318557739258,82.7510058879852,40.3961420059204,90.207052230835,59.6566021442413,45.3714668750763,22931
"Libya","Arab States","PAPFAM","2014",18.0168494582176,0.597237935289741,4.92081232368946,2.41106450557709,0.102541816886514,10.8102850615978,37.0368540287018,0.606781151145697,7.08214342594147,0.178682385012507,98187
"Madagascar","Sub-Saharan Africa","DHS","2008-2009",43.352746963501,6.61784783005714,60.0386202335358,27.2179186344147,99.2370963096619,97.4183022975922,61.9462549686432,83.0664336681366,78.7820935249329,59.6992254257202,40662
"Malawi","Sub-Saharan Africa","DHS","2015-2016",27.5363445281982,4.97557073831558,26.7095476388931,7.58814364671707,97.8779435157776,46.2625712156296,48.7644612789154,88.818222284317,75.8258938789368,47.6768851280212,38253
"Maldives","South Asia","DHS","2016-2017",29.739511013031,1.5839708968997,2.72806342691183,1.29635548219085,0.669694086536765,1.65987890213728,1.57570037990809,0.200648861937225,10.4299135506153,0.114941736683249,27769
"Mali","Sub-Saharan Africa","MICS","2015",45.4486101865768,17.3627436161041,60.110205411911,60.2691411972046,99.0443766117096,66.3663148880005,37.7965301275253,57.3493301868439,75.0348687171936,6.1362374573946,94392
"Mauritania","Sub-Saharan Africa","MICS","2015",32.6486647129059,5.80889731645584,24.0015715360641,33.644711971283,59.7919881343842,59.509551525116,47.1988290548325,60.1927042007446,60.8882367610931,20.0921341776848,64005
"Mexico","Latin America and the Caribbean","ENSANUT","2016",4.97120693325996,NA,6.6055029630661,3.15411351621151,15.7571971416473,16.059884428978,8.27979668974876,0.645771203562617,10.0520968437195,3.57924364507198,29759
"Moldova","Europe and Central Asia","MICS","2012",1.74908321350813,0.515831308439374,2.8984559699893,0.693188607692719,7.15851560235024,31.0062438249588,16.8953582644463,0.490915728732944,8.84747952222824,3.04371286183596,27219
"Mongolia","East Asia and the Pacific","MICS","2013",5.79408966004849,3.95878776907921,4.98989373445511,1.22192399576306,55.6285738945007,74.8441874980927,26.8560379743576,18.9488768577576,44.1598415374756,1.59652084112167,49556
"Montenegro","Europe and Central Asia","MICS","2013",2.72592101246119,2.0058149471879,1.87699217349291,1.35025205090642,45.1349049806595,4.41095754504204,2.38106418401003,0.295829097740352,9.11119356751442,0.168554333504289,14231
"Morocco","Arab States","PAPFAM","2011",9.00252237915993,12.2433222830296,28.3627212047577,9.45959240198135,8.55750665068626,18.0559292435646,28.0646443367004,8.7762288749218,26.5920877456665,5.81203326582909,73241
"Mozambique","Sub-Saharan Africa","DHS","2011",37.5376880168915,8.31323117017746,50.9017407894135,30.8471500873566,96.4517772197723,76.2519240379334,61.9302690029144,77.2609531879425,81.647515296936,47.1393615007401,61252
"Myanmar","East Asia and the Pacific","DHS","2015-2016",23.994942009449,2.28597726672888,28.7888497114182,10.2644942700863,77.7406573295593,51.1003375053406,23.6583217978477,43.4378266334534,73.1358408927918,20.3240782022476,52906
"Namibia","Sub-Saharan Africa","DHS","2013",37.7807825803757,4.23331037163734,8.103047311306,8.81084427237511,61.1232697963715,66.1711931228638,26.6281455755234,55.9830486774445,47.2982108592987,20.1616019010544,18939
"Nepal","South Asia","DHS","2016",43.3031916618347,2.47859545052052,23.8635584712028,5.48976957798004,71.049177646637,35.7282072305679,7.94210955500603,9.40746366977692,65.5226945877075,21.1660712957382,23087
"Nicaragua","Latin America and the Caribbean","DHS","2011-2012",7.53480568528175,1.00055560469627,16.2969321012497,4.30719330906868,56.8221151828766,9.91146862506866,32.6741695404053,20.1558709144592,40.2920365333557,15.0474712252617,84911
"Niger","Sub-Saharan Africa","DHS","2012",54.6067535877228,18.699161708355,74.9861836433411,58.2073867321014,98.6025750637054,89.4781351089478,61.2168610095978,85.0216507911682,93.5616970062256,46.702116727829,28829
"Nigeria","Sub-Saharan Africa","MICS","2016-2017",42.5754874944687,13.0055889487267,26.0609447956085,32.7619433403015,80.5278360843658,63.9187395572662,42.579847574234,48.2686191797257,47.4363178014755,21.2818220257759,168808
"Pakistan","South Asia","DHS","2017-2018",39.7972077131271,7.69079998135567,27.8370231389999,28.4502536058426,51.5898168087006,29.9852430820465,13.1851896643639,7.81798586249352,46.4228481054306,14.4814625382423,27831
"Palestine, State of","Arab States","MICS","2014",6.38213455677033,2.10456140339375,1.01645914837718,3.10048703104258,1.91045254468918,1.25110652297735,39.6041035652161,0.0925516418647021,0.824790727347136,2.6977077126503,51750
"Paraguay","Latin America and the Caribbean","MICS","2016",3.08998748660088,0.947232451289892,7.03869760036469,2.89374869316816,36.6916060447693,19.5024237036705,4.98685017228127,1.65761988610029,17.7693903446198,2.15243883430958,29160
"Peru","Latin America and the Caribbean","DHS","2012",9.64234843850136,1.04217110201716,7.82305225729942,3.09715364128351,33.6799025535583,39.5501285791397,16.637521982193,10.4967512190342,54.3833374977112,9.49972942471504,98462
